Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,29.815001,30.711000,29.785000,30.121000,30.075634,391547000
2022-01-04,30.277000,30.468000,28.349001,29.290001,29.245884,527154000
2022-01-05,28.948999,29.416000,27.533001,27.604000,27.562428,498064000
2022-01-06,27.639999,28.438000,27.065001,28.177999,28.135557,454186000
2022-01-07,28.141001,28.422001,27.056999,27.247000,27.205959,409939000
2022-01-10,26.580999,27.469000,25.643999,27.400000,27.358732,594681000
2022-01-11,27.323000,28.065001,26.839001,27.816999,27.775103,404089000
2022-01-12,28.066999,28.594999,27.608000,27.999001,27.956829,383413000
2022-01-13,28.379000,28.480000,26.497999,26.575001,26.534973,540171000
2022-01-14,26.299999,27.197001,26.209999,26.941999,26.901419,395832000
2022-01-18,26.260000,26.638000,25.770000,25.903000,25.863985,424270000
2022-01-19,26.079000,26.542999,25.052000,25.066999,25.029242,488315000
2022-01-20,25.304001,25.579000,24.077999,24.150000,24.113628,435181000
2022-01-21,23.507000,24.823000,23.263000,23.374001,23.338797,718958000
2022-01-24,22.330000,23.379999,20.888000,23.372000,23.336800,913982000
2022-01-25,22.546000,22.943001,22.000000,22.323999,22.290373,664616000
2022-01-26,23.240000,24.056999,22.299999,22.771999,22.737701,755959000
2022-01-27,23.568001,23.995001,21.674999,21.944000,21.910948,573353000
2022-01-28,22.011999,22.858000,21.296000,22.840000,22.805599,543774000
2022-01-31,23.181999,24.509001,23.052000,24.486000,24.449120,564680000
2022-02-01,25.104000,25.145000,23.889999,24.638000,24.600891,518925000
2022-02-02,25.794001,25.816999,24.552999,25.242001,25.203985,543419000
2022-02-03,24.458000,25.077000,23.780001,23.948000,23.911928,410178000
2022-02-04,23.972000,24.635000,23.632000,24.319000,24.282372,354829000
2022-02-07,24.372000,25.181999,24.202000,24.728001,24.690756,376868000
2022-02-08,24.358999,25.230000,23.980000,25.108000,25.070185,410359000
2022-02-09,25.622000,26.725000,25.353001,26.705000,26.664778,524282000
2022-02-10,25.995001,26.924999,25.600000,25.823999,25.785103,513200000
2022-02-11,25.916000,26.152000,23.773001,23.948999,23.912926,605472000
2022-02-14,23.934000,24.875000,23.754999,24.267000,24.230450,440424000
2022-02-15,24.948999,26.545000,24.784000,26.495001,26.455095,699869000
2022-02-16,26.259001,26.582001,25.552000,26.511000,26.471073,732676000
2022-02-17,25.629999,25.785000,24.165001,24.507000,24.470083,810595000
2022-02-18,24.667999,24.986000,23.100000,23.642000,23.606388,761255000
2022-02-22,23.035000,24.063999,23.000000,23.389999,23.354769,633422000
